#Properties of FRB 20220529 bursts with RM measurements outside the ``RM flare'' phase. Each burst was detected using the FAST telescope with an S/N \geq 10. Uncertainties are 1 \sigma.
#MJDs are in barycentric dynamical time (TDB) and extrapolated to infinite frequency.
#S/N is the maximum S/N of the burst across different DM tails during the burst search, and  DM_det is the associated DM. 
#f_low and f_high are the minimum and maximum frequency extent of the bursts, determined by eye.
#DM_stru is the structure-maximizing DM obtained by DM_phase.
#f_L is the percentage of unbiased linear polarization.
##############################################################################################
#MJD,S/N,DM_det (pc cm^-3),f_low (MHz),f_high (MHz),DM_stru (pc cm^-3),RM (rad m^-2),f_L (%)
59791.8349443,10,254.0,1100,1500,255.2 ± 0.8,-18 ± 36,98 ± 10
59791.8495625,10,257.2,1250,1480,259.8 ± 0.0,-16 ± 23,74 ± 9
59791.8504828,10,250.2,1000,1300,251.3 ± 1.6,-39 ± 38,68 ± 6
59799.8248144,18,251.2,1200,1500,251.9 ± 1.5,-90 ± 23,~ 100
59799.8256381,39,254.2,1100,1500,249.7 ± 2.4,-77 ± 15,91 ± 2
59799.8284971,12,249.3,1000,1200,248.4 ± 0.6,15 ± 39,81 ± 6
59799.8315647,19,249.9,1100,1400,248.8 ± 0.7,-36 ± 21,92 ± 6
59800.7981530,11,241.1,1280,1410,249.4 ± 4.0,-15 ± 0,78 ± 7
59800.8005899,13,251.4,1000,1400,252.2 ± 0.6,-73 ± 18,~ 100
59800.8007206,24,250.2,1050,1400,248.1 ± 1.3,-22 ± 12,90 ± 4
59800.8009705,13,247.7,1250,1500,249.5 ± 1.3,-95 ± 38,56 ± 5
59800.8011224,11,250.8,1250,1500,247.1 ± 0.3,-1 ± 43,78 ± 7
59800.8028706,11,255.9,1020,1220,248.4 ± 0.2,-21 ± 21,82 ± 6
59800.8059655,10,250.6,1200,1500,251.5 ± 0.5,-53 ± 0,70 ± 7
59800.8066419,16,245.3,1000,1200,249.1 ± 1.0,-57 ± 23,72 ± 3
59800.8080652,48,253.2,1050,1450,247.6 ± 0.9,11 ± 37,92 ± 2
59800.8110967,10,251.8,1100,1400,249.0 ± 1.6,-44 ± 25,~ 100
59800.8111397,13,252.0,1120,1380,248.8 ± 0.6,-61 ± 41,89 ± 6
59800.8116266,35,254.2,1250,1500,259.5 ± 2.1,4 ± 13,92 ± 2
59800.8116743,18,253.4,1260,1500,250.0 ± 4.7,-22 ± 9,~ 100
59800.8147096,25,250.4,1100,1350,247.8 ± 2.2,13 ± 15,93 ± 3
59800.8147672,37,256.1,1100,1500,249.5 ± 2.2,-78 ± 7,87 ± 2
59800.8148360,18,249.3,1100,1350,250.8 ± 4.2,-79 ± 0,97 ± 5
59802.8156970,13,249.9,1050,1250,254.3 ± 3.0,-26 ± 29,75 ± 4
59802.8162383,11,252.0,1050,1250,243.3 ± 1.4,-45 ± 0,55 ± 6
59802.8167434,24,256.7,1200,1500,244.6 ± 0.0,-78 ± 14,98 ± 3
59802.8172541,19,248.5,1000,1400,247.4 ± 0.6,-81 ± 12,89 ± 9
59802.8179274,16,245.7,1000,1250,250.5 ± 2.4,-89 ± 29,92 ± 5
59802.8182477,299,246.7,1000,1500,246.7 ± 0.2,-68 ± 1,94 ± 5
59802.8186605,16,253.8,1000,1180,257.5 ± 2.4,-99 ± 13,94 ± 4
59802.8192644,14,250.4,1120,1500,249.5 ± 0.2,-79 ± 23,~ 100
59802.8197832,27,249.7,1150,1500,246.4 ± 0.9,-28 ± 23,92 ± 5
59802.8207840,11,247.9,1200,1500,246.3 ± 0.6,-133 ± 33,75 ± 8
59802.8221456,30,250.6,1050,1350,245.9 ± 0.3,-49 ± 16,91 ± 3
59802.8228756,89,251.2,1050,1450,247.2 ± 0.5,-67 ± 3,90 ± 1
59802.8252892,65,256.7,1000,1350,247.2 ± 0.6,-26 ± 2,82 ± 3
59802.8258813,11,241.1,1050,1250,251.3 ± 5.0,53 ± 65,73 ± 7
59802.8269752,13,254.9,1000,1400,247.5 ± 0.9,-51 ± 14,96 ± 6
59802.8269817,26,248.9,1000,1300,249.6 ± 0.4,-5 ± 19,95 ± 4
59802.8276142,33,251.8,1050,1500,250.9 ± 1.6,-72 ± 9,94 ± 3
59802.8279883,12,256.3,1300,1500,253.7 ± 4.4,-47 ± 0,86 ± 4
59802.8282068,12,248.5,1050,1300,246.4 ± 1.7,-30 ± 34,85 ± 6
59802.8308218,10,255.5,1250,1500,254.0 ± 1.0,42 ± 97,89 ± 11
59802.8332323,19,249.5,1250,1500,250.9 ± 3.5,-13 ± 26,~ 100
59802.8332968,13,250.8,1000,1400,248.0 ± 1.0,-15 ± 24,72 ± 7
59802.8334967,13,246.5,1010,1130,245.1 ± 1.0,-85 ± 0,87 ± 3
59802.8341762,30,252.0,1100,1500,244.5 ± 0.3,-20 ± 8,90 ± 3
59804.8571390,12,243.1,1040,1160,248.2 ± 2.4,-49 ± 45,88 ± 5
59804.8586679,12,250.4,1000,1400,249.0 ± 0.8,-94 ± 37,76 ± 9
59804.8592688,24,250.2,1010,1220,242.5 ± 2.0,-139 ± 16,79 ± 2
59804.8595479,14,244.7,1000,1200,244.7 ± 1.0,-133 ± 18,97 ± 3
59804.8596243,10,252.2,1100,1400,252.0 ± 2.7,-61 ± 30,87 ± 9
59804.8601767,18,246.3,1000,1250,245.2 ± 0.3,-144 ± 34,51 ± 4
59804.8627425,97,253.6,1000,1250,247.0 ± 2.0,-148 ± 1,85 ± 0
59804.8654333,20,254.9,1000,1350,256.0 ± 3.1,-136 ± 9,83 ± 7
59804.8659944,32,254.7,1010,1250,247.4 ± 0.1,-112 ± 5,87 ± 2
59804.8669883,52,253.0,1000,1300,248.8 ± 1.7,-48 ± 7,85 ± 2
59804.8672272,25,247.7,1000,1250,247.3 ± 0.9,-123 ± 0,90 ± 3
59804.8680932,13,253.8,1000,1250,251.8 ± 1.8,64 ± 37,45 ± 4
59804.8684731,12,248.5,1000,1250,249.4 ± 0.3,-133 ± 42,81 ± 7
59804.8720779,10,247.5,1000,1200,248.3 ± 0.3,-133 ± 0,80 ± 10
59804.8727192,12,252.0,1060,1200,256.2 ± 2.7,-132 ± 42,63 ± 5
59804.8766644,10,254.7,1250,1450,250.0 ± 0.3,-117 ± 0,89 ± 10
59804.8766887,10,250.8,1000,1200,251.1 ± 4.5,-143 ± 0,86 ± 6
59805.8514717,30,250.4,1000,1250,248.3 ± 2.3,-87 ± 0,73 ± 3
59805.8516569,16,250.4,1000,1250,250.6 ± 1.2,-143 ± 21,73 ± 6
59805.8534394,12,247.7,1300,1500,244.3 ± 1.9,-112 ± 35,84 ± 8
59805.8537314,24,252.4,1000,1300,252.5 ± 1.2,-39 ± 20,90 ± 6
59805.8538470,79,249.4,1050,1350,251.0 ± 1.7,-143 ± 12,88 ± 1
59805.8539506,16,254.8,1200,1500,255.0 ± 1.6,-4 ± 25,60 ± 5
59805.8551173,15,250.4,1050,1350,250.1 ± 1.7,-133 ± 24,88 ± 9
59805.8551855,39,249.0,1100,1500,249.5 ± 1.0,-251 ± 0,87 ± 4
59805.8566556,12,250.0,1000,1300,248.8 ± 0.7,-231 ± 40,78 ± 9
59805.8566589,23,251.1,1000,1250,250.3 ± 2.3,-183 ± 0,67 ± 4
59805.8566716,16,248.4,1000,1300,245.8 ± 0.4,-138 ± 10,33 ± 4
59805.8611987,20,252.4,1000,1300,253.0 ± 1.0,-205 ± 35,83 ± 5
59805.8627464,126,251.4,1000,1500,246.5 ± 1.2,-109 ± 9,53 ± 1
59805.8627538,29,255.8,1000,1500,250.2 ± 3.9,-87 ± 22,61 ± 5
59805.8634970,29,254.4,1050,1500,254.6 ± 0.8,-183 ± 54,64 ± 5
59805.8637136,38,252.7,1150,1500,252.5 ± 1.4,-87 ± 0,95 ± 3
59805.8639545,14,249.0,1000,1100,241.9 ± 3.4,-187 ± 13,69 ± 3
59805.8644095,42,249.7,1000,1350,248.8 ± 2.4,-102 ± 16,65 ± 3
59805.8648931,59,255.1,1000,1250,249.5 ± 1.0,-60 ± 18,84 ± 1
59805.8672048,21,252.4,1250,1500,247.7 ± 0.6,-26 ± 60,78 ± 6
59805.8708985,12,257.1,1000,1400,249.8 ± 1.7,-228 ± 31,61 ± 5
59805.8712859,15,249.7,1250,1500,246.9 ± 2.2,-85 ± 36,84 ± 6
59806.7879228,12,247.5,1000,1380,248.8 ± 2.0,-195 ± 24,85 ± 9
59806.7886813,17,251.2,1000,1400,249.6 ± 1.2,-150 ± 17,84 ± 6
59806.7891687,25,253.2,1000,1350,252.0 ± 1.6,-82 ± 12,79 ± 3
59806.7895224,21,245.1,1000,1400,247.2 ± 0.9,-203 ± 18,75 ± 4
59806.7902269,11,253.6,1250,1500,252.7 ± 2.7,-209 ± 41,81 ± 6
59806.7912415,30,249.7,1000,1300,249.1 ± 2.7,-172 ± 49,53 ± 2
59806.7922029,10,247.3,1000,1200,246.0 ± 2.5,-185 ± 0,84 ± 8
59806.7930088,15,249.9,1000,1150,247.9 ± 1.2,-178 ± 33,66 ± 3
59806.7944328,10,255.3,1000,1200,248.6 ± 1.6,-63 ± 0,64 ± 8
59806.7970519,11,253.4,1000,1200,250.7 ± 1.7,-185 ± 0,75 ± 6
59806.7976294,17,251.8,1000,1200,247.4 ± 0.0,-146 ± 26,71 ± 4
59806.7977793,24,249.1,1000,1200,247.8 ± 0.9,-168 ± 18,83 ± 3
59806.8004352,10,239.9,1000,1150,244.5 ± 0.2,-158 ± 30,87 ± 5
59806.8035735,61,251.6,1000,1250,247.4 ± 1.5,-154 ± 37,18 ± 1
59806.8046412,10,248.7,1000,1200,251.4 ± 0.4,-147 ± 53,80 ± 7
59808.7770635,15,251.1,1150,1500,255.3 ± 0.7,-130 ± 91,59 ± 7
59808.7774666,19,246.0,1200,1500,251.9 ± 1.2,-244 ± 16,69 ± 5
59808.7776881,14,248.4,1000,1500,248.5 ± 0.9,-156 ± 27,90 ± 9
59808.7781122,25,247.0,1000,1150,248.5 ± 1.5,-145 ± 58,34 ± 2
59808.7785289,31,255.1,1000,1450,250.2 ± 0.9,-222 ± 18,84 ± 4
59808.7786792,10,253.1,1000,1200,251.1 ± 0.3,-59 ± 30,59 ± 6
59808.7792450,22,253.1,1000,1500,256.5 ± 1.4,-103 ± 27,75 ± 5
59808.7808685,12,244.0,1320,1500,241.3 ± 3.1,-11 ± 64,40 ± 5
59808.7811386,17,254.8,1050,1500,251.0 ± 0.7,-223 ± 45,64 ± 6
59808.7812292,14,249.4,1000,1400,249.3 ± 0.8,-146 ± 88,60 ± 7
59808.7826484,18,252.1,1100,1500,249.9 ± 0.4,-45 ± 17,97 ± 8
59808.7845690,12,251.1,1000,1120,248.1 ± 1.2,-204 ± 16,52 ± 5
59808.7867717,17,247.4,1000,1400,247.2 ± 1.2,-58 ± 36,61 ± 6
59808.7869861,51,249.4,1000,1400,249.6 ± 1.7,-43 ± 7,87 ± 3
59808.7871886,11,254.8,1330,1500,242.1 ± 2.8,-171 ± 0,65 ± 6
59808.7877206,14,249.4,1100,1450,249.4 ± 1.4,-195 ± 28,86 ± 7
59808.7890007,15,244.7,1000,1150,252.2 ± 0.6,-100 ± 15,82 ± 4
59808.7898175,20,252.7,1000,1150,252.9 ± 1.8,-136 ± 79,25 ± 2
59808.7906108,13,245.3,1100,1400,245.4 ± 1.6,-242 ± 45,48 ± 6
59808.7906615,68,256.1,1000,1250,255.8 ± 2.3,-69 ± 0,22 ± 1
59808.7915748,109,251.1,1100,1500,249.7 ± 0.6,-122 ± 7,86 ± 1
59808.7916154,26,252.7,1050,1500,251.3 ± 0.7,-155 ± 31,86 ± 5
59808.7917712,119,256.1,1000,1400,246.6 ± 1.6,-199 ± 5,76 ± 1
59808.7918656,75,247.4,1000,1200,248.4 ± 1.1,-129 ± 33,36 ± 1
59808.7922286,17,251.4,1000,1250,255.0 ± 1.0,-197 ± 14,58 ± 3
59808.7925377,41,250.0,1000,1350,249.9 ± 0.9,-100 ± 33,49 ± 2
59808.7928414,19,250.0,1000,1150,251.5 ± 1.4,-151 ± 44,58 ± 4
59808.7929470,29,252.7,1000,1150,252.9 ± 1.6,-88 ± 34,67 ± 2
59808.7933938,24,253.8,1150,1500,254.6 ± 2.8,-241 ± 53,67 ± 4
59808.7935465,11,249.7,1000,1150,245.3 ± 0.6,-113 ± 0,82 ± 7
59808.7950094,34,250.0,1000,1500,250.4 ± 0.6,-87 ± 27,47 ± 5
59808.7951491,14,249.7,1000,1250,248.8 ± 1.2,-124 ± 36,48 ± 6
59808.7952893,54,252.4,1300,1500,252.6 ± 3.2,-228 ± 92,74 ± 1
59808.7957954,14,248.4,1000,1250,254.4 ± 0.8,-124 ± 26,47 ± 4
59808.7964324,16,252.7,1000,1500,252.8 ± 1.2,-181 ± 30,58 ± 6
59808.7964753,38,249.0,1000,1150,249.2 ± 3.2,-88 ± 26,37 ± 8
59808.8045297,13,253.4,1000,1080,250.7 ± 2.5,-114 ± 13,66 ± 3
59808.8120351,15,247.0,1000,1250,244.9 ± 1.5,-117 ± 0,71 ± 6
59808.8192027,10,247.0,1000,1200,248.8 ± 2.2,-94 ± 56,61 ± 5
59808.8192233,11,240.7,1000,1100,236.7 ± 4.5,-29 ± 41,79 ± 7
59808.8360867,12,251.7,1000,1250,253.8 ± 1.2,-147 ± 21,65 ± 7
59808.8361080,84,250.0,1000,1250,251.1 ± 0.7,-134 ± 13,68 ± 1
59808.8361080,100,249.7,1000,1350,249.8 ± 0.8,-135 ± 10,69 ± 1
59808.8400204,18,247.4,1000,1150,249.1 ± 0.9,-101 ± 41,71 ± 4
59808.8445902,10,253.8,1100,1350,256.4 ± 1.9,-105 ± 0,77 ± 8
59808.8453254,31,249.4,1000,1300,249.3 ± 1.1,-91 ± 0,67 ± 3
59808.8453930,13,240.7,1000,1160,250.7 ± 0.0,-88 ± 21,46 ± 3
59808.8512816,25,251.1,1000,1200,251.0 ± 1.3,-20 ± 8,56 ± 2
59808.8582160,15,250.0,1050,1350,252.4 ± 0.7,-209 ± 37,71 ± 6
59810.7506510,18,248.9,1000,1200,250.2 ± 0.1,103 ± 30,72 ± 4
59810.7515539,14,251.8,1200,1500,251.9 ± 3.5,-151 ± 0,48 ± 4
59810.7561513,22,248.3,1000,1250,247.2 ± 0.2,5 ± 20,75 ± 4
59810.7585497,21,250.2,1000,1500,249.8 ± 0.1,94 ± 22,77 ± 5
59810.7589935,455,247.7,1000,1500,246.7 ± 0.2,78 ± 0,37 ± 6
59810.7613589,26,248.9,1000,1300,247.3 ± 0.3,4 ± 39,53 ± 3
59810.7617329,12,251.2,1000,1350,251.8 ± 4.8,77 ± 19,95 ± 7
59810.7622912,12,251.4,1100,1500,249.8 ± 1.2,107 ± 23,84 ± 10
59810.7627884,15,251.4,1250,1500,251.2 ± 1.9,117 ± 44,95 ± 6
59810.7638287,26,254.5,1000,1250,251.8 ± 2.8,0 ± 19,51 ± 2
59810.7664129,20,252.8,1000,1300,253.2 ± 1.6,-93 ± 16,27 ± 3
59810.7694814,10,249.5,1000,1250,250.7 ± 1.1,-163 ± 0,53 ± 6
59812.8400006,55,252.2,1050,1450,248.8 ± 1.5,23 ± 8,67 ± 2
59812.8418563,10,246.9,1000,1200,248.5 ± 0.4,-155 ± 36,46 ± 5
59812.8432325,10,247.9,1000,1250,246.6 ± 0.6,17 ± 27,83 ± 9
59812.8444367,28,251.0,1000,1500,250.6 ± 0.4,16 ± 4,86 ± 10
59812.8444773,32,248.9,1100,1500,246.6 ± 0.5,-4 ± 14,91 ± 3
59812.8447271,17,251.8,1000,1500,251.6 ± 0.6,-32 ± 59,74 ± 5
59812.8452484,14,250.6,1100,1400,250.9 ± 0.4,13 ± 25,92 ± 6
59812.8453996,10,248.7,1120,1400,247.1 ± 0.5,-2 ± 51,99 ± 13
59812.8462705,31,249.5,1250,1500,248.8 ± 0.7,-33 ± 25,83 ± 2
59812.8463604,73,249.3,1000,1500,249.5 ± 0.5,0 ± 6,94 ± 3
59812.8471644,20,256.9,1250,1500,247.2 ± 0.8,18 ± 17,~ 100
59812.8487037,26,249.3,1000,1450,247.3 ± 0.1,-14 ± 50,36 ± 2
59812.8495234,12,254.7,1000,1350,254.0 ± 0.9,-43 ± 28,53 ± 5
59812.8496352,13,254.5,1150,1500,246.5 ± 0.0,-5 ± 19,~ 100
59812.8515285,11,251.8,1000,1500,253.1 ± 0.1,-17 ± 8,51 ± 9
59812.8515343,14,253.2,1100,1450,257.4 ± 1.0,-154 ± 16,74 ± 6
59812.8536756,34,252.6,1000,1450,253.2 ± 0.5,8 ± 7,91 ± 3
59812.8558793,27,252.2,1000,1500,247.0 ± 0.1,-60 ± 25,64 ± 4
59812.8561526,17,252.6,1250,1500,252.4 ± 1.0,-54 ± 47,93 ± 6
59812.8561599,11,252.6,1100,1500,253.1 ± 0.2,-288 ± 26,51 ± 8
59812.8562588,495,246.7,1000,1500,247.4 ± 0.2,18 ± 1,77 ± 2
59814.7348192,13,249.3,1000,1200,250.6 ± 2.3,8 ± 25,84 ± 5
59814.7350632,26,255.1,1000,1350,249.5 ± 0.0,66 ± 11,51 ± 5
59814.7356206,11,253.0,1250,1500,247.6 ± 1.3,3 ± 41,90 ± 8
59814.7370684,15,256.7,1000,1300,250.4 ± 2.4,1 ± 36,64 ± 4
59814.7372821,12,249.1,1000,1200,249.4 ± 2.4,-15 ± 0,65 ± 5
59814.7373043,13,249.1,1100,1350,245.7 ± 3.1,34 ± 36,83 ± 7
59814.7376958,25,247.3,1150,1450,247.8 ± 1.6,14 ± 15,99 ± 6
59814.7383142,20,250.4,1100,1500,248.1 ± 0.1,22 ± 15,95 ± 5
59814.7400174,33,253.2,1050,1500,247.7 ± 0.6,73 ± 0,78 ± 3
59814.7402033,12,246.7,1000,1150,247.0 ± 4.8,-25 ± 59,52 ± 4
59814.7405951,50,253.0,1000,1200,249.8 ± 1.3,54 ± 52,53 ± 1
59814.7407226,14,253.8,1050,1350,250.2 ± 2.2,40 ± 20,73 ± 6
59814.7419227,17,248.5,1000,1200,248.8 ± 3.2,7 ± 20,53 ± 4
59814.7434545,35,249.9,1000,1200,249.0 ± 1.8,47 ± 0,82 ± 2
59814.7457407,42,251.8,1000,1450,251.0 ± 1.0,6 ± 6,90 ± 3
59814.7487089,403,246.5,1000,1500,247.1 ± 0.1,18 ± 1,61 ± 0
59814.7487509,16,247.9,1000,1300,247.9 ± 0.3,157 ± 39,60 ± 5
59814.7494940,29,245.9,1000,1400,244.9 ± 0.2,3 ± 12,77 ± 4
59814.7499036,20,249.7,1000,1350,253.4 ± 3.0,21 ± 20,74 ± 4
59814.7502050,59,251.0,1050,1450,249.8 ± 0.1,52 ± 8,86 ± 2
59814.7518336,86,250.8,1000,1300,247.4 ± 0.2,-10 ± 3,87 ± 1
59814.7524414,35,249.1,1000,1200,250.6 ± 0.6,9 ± 0,72 ± 2
59814.7531055,26,249.9,1050,1400,251.9 ± 1.0,-3 ± 0,79 ± 4
59815.7661876,12,256.3,1000,1400,257.3 ± 0.3,125 ± 0,52 ± 5
59815.7663316,42,252.6,1000,1500,252.6 ± 1.1,31 ± 9,77 ± 2
59815.7676607,60,247.9,1000,1250,247.4 ± 1.1,45 ± 7,67 ± 1
59815.7686857,13,253.0,1050,1500,251.7 ± 0.2,-20 ± 33,64 ± 6
59815.7689064,23,251.2,1000,1300,250.7 ± 0.7,125 ± 21,74 ± 3
59815.7690616,26,251.2,1050,1350,249.5 ± 0.7,142 ± 15,75 ± 3
59815.7694270,29,248.3,1000,1300,248.9 ± 1.5,94 ± 15,62 ± 4
59815.7694600,27,248.3,1000,1200,245.2 ± 0.2,12 ± 53,44 ± 2
59815.7696589,11,247.7,1100,1400,248.0 ± 1.3,59 ± 64,56 ± 6
59815.7696866,12,254.0,1000,1500,253.3 ± 2.8,97 ± 20,77 ± 8
59815.7708570,15,253.8,1100,1500,250.6 ± 0.8,3 ± 25,78 ± 5
59815.7726274,15,251.4,1050,1450,250.1 ± 2.2,148 ± 20,73 ± 5
59815.7736184,16,249.7,1000,1400,250.7 ± 0.0,45 ± 16,93 ± 6
59815.7738190,17,251.0,1000,1200,247.4 ± 0.7,83 ± 31,49 ± 3
59815.7740347,14,246.5,1000,1200,247.8 ± 1.4,66 ± 21,70 ± 5
59815.7742826,105,247.3,1000,1250,247.2 ± 0.4,159 ± 2,79 ± 1
59815.7758338,16,250.8,1050,1450,250.5 ± 1.3,-17 ± 31,69 ± 5
59815.7773168,20,252.6,1000,1250,252.4 ± 1.1,4 ± 14,97 ± 4
59815.7796816,21,252.0,1000,1500,253.6 ± 1.9,69 ± 19,79 ± 5
59815.7802117,24,251.0,1250,1500,250.6 ± 1.1,-3 ± 25,89 ± 3
59815.7803399,33,247.3,1000,1250,245.6 ± 0.4,6 ± 7,62 ± 5
59815.7825639,26,251.8,1000,1450,252.4 ± 0.8,159 ± 0,71 ± 4
59815.7835534,35,249.7,1000,1500,249.9 ± 0.2,72 ± 17,72 ± 3
59815.7843269,26,249.3,1000,1350,251.0 ± 0.1,41 ± 16,67 ± 3
59815.7857263,22,253.8,1050,1250,247.3 ± 1.0,20 ± 17,88 ± 3
59819.7284365,102,251.4,1000,1500,250.6 ± 0.4,-46 ± 4,83 ± 1
59819.7284366,298,250.4,1000,1500,249.9 ± 0.5,-37 ± 1,88 ± 0
59819.7284366,62,249.7,1000,1450,250.0 ± 0.6,-5 ± 14,61 ± 2
59819.7450663,11,243.0,1000,1150,245.5 ± 2.2,-28 ± 19,42 ± 6
59819.7450803,31,247.4,1000,1150,245.4 ± 1.7,-23 ± 0,50 ± 2
59819.7450782,11,246.0,1000,1250,237.6 ± 0.2,-78 ± 39,48 ± 5
59819.7475960,17,249.4,1000,1200,249.9 ± 2.4,-85 ± 0,64 ± 4
59819.7514401,10,252.1,1000,1400,253.5 ± 0.0,-16 ± 20,78 ± 16
59819.7542820,16,248.4,1000,1500,245.0 ± 0.1,-12 ± 24,~ 100
59819.7586151,15,252.4,1000,1400,249.4 ± 0.0,-34 ± 26,58 ± 5
59819.7666914,12,244.3,1000,1250,253.7 ± 1.2,-53 ± 57,69 ± 6
59819.7675113,11,252.4,1100,1450,252.5 ± 0.6,-43 ± 41,68 ± 7
59819.7778833,19,248.4,1000,1250,251.2 ± 0.7,-69 ± 29,53 ± 4
59819.7797372,20,254.4,1000,1250,262.2 ± 3.3,-42 ± 12,59 ± 3
59819.7894060,16,252.1,1000,1500,252.2 ± 0.6,5 ± 33,54 ± 8
59819.8030828,18,249.7,1000,1300,249.5 ± 1.7,-55 ± 41,31 ± 3
59820.8442158,21,245.9,1000,1200,250.9 ± 0.5,-73 ± 68,71 ± 3
59820.8450284,21,252.4,1000,1400,252.8 ± 2.1,-65 ± 11,56 ± 3
59820.8451489,18,250.8,1000,1350,250.1 ± 3.5,-31 ± 21,54 ± 4
59820.8451960,29,247.9,1000,1250,245.5 ± 0.4,-94 ± 26,67 ± 2
59820.8452905,25,256.5,1000,1400,261.5 ± 2.2,-99 ± 20,42 ± 2
59820.8453317,10,247.3,1050,1350,246.2 ± 0.7,-44 ± 28,81 ± 7
59820.8453343,12,249.9,1000,1500,249.7 ± 0.3,-29 ± 65,64 ± 8
59820.8461192,12,253.4,1120,1500,251.2 ± 2.3,-71 ± 78,91 ± 7
59820.8474821,11,247.5,1000,1250,249.7 ± 0.2,-41 ± 0,~ 100
59820.8480053,11,250.4,1000,1200,245.7 ± 0.8,-54 ± 48,59 ± 9
59820.8493193,22,252.2,1000,1350,250.4 ± 0.2,-65 ± 18,78 ± 3
59820.8496586,73,249.1,1000,1250,250.7 ± 1.8,-95 ± 3,88 ± 1
59820.8504070,10,251.6,1000,1350,248.9 ± 1.4,-42 ± 46,88 ± 9
59820.8504226,14,250.4,1000,1400,249.9 ± 1.3,-64 ± 21,75 ± 7
59820.8504303,41,250.4,1000,1500,250.4 ± 0.6,-53 ± 10,90 ± 3
59820.8507719,34,246.1,1000,1250,246.1 ± 0.2,-66 ± 21,90 ± 3
59820.8508114,10,242.3,1000,1200,248.1 ± 1.0,-109 ± 0,60 ± 4
59820.8516513,108,246.9,1000,1200,246.8 ± 0.3,-26 ± 5,73 ± 2
59820.8518866,15,251.0,1000,1400,252.6 ± 0.0,-100 ± 22,75 ± 5
59820.8521194,10,249.9,1000,1200,250.7 ± 2.0,-68 ± 25,78 ± 6
59820.8521776,34,255.3,1000,1500,249.3 ± 0.1,-77 ± 7,83 ± 3
59820.8525329,42,254.9,1000,1250,248.0 ± 0.8,-28 ± 15,54 ± 1
59820.8528285,18,253.2,1000,1400,251.9 ± 2.2,27 ± 17,69 ± 4
59820.8529489,21,249.7,1000,1500,249.1 ± 0.8,-68 ± 27,89 ± 6
59820.8530342,19,250.8,1000,1180,250.1 ± 2.6,-81 ± 30,66 ± 3
59820.8533121,38,246.9,1000,1500,246.9 ± 0.2,-104 ± 10,68 ± 7
59820.8543263,18,251.8,1000,1500,252.5 ± 0.1,17 ± 22,87 ± 6
59820.8554695,13,254.2,1000,1500,251.0 ± 0.7,-43 ± 47,78 ± 6
59820.8578884,22,248.7,1000,1200,247.3 ± 0.3,-18 ± 61,80 ± 4
59820.8583047,63,249.9,1000,1500,249.8 ± 0.5,-65 ± 7,84 ± 2
